compound,cas,group1,group2,group3,C,H,O,S,N,MW,anchor
"2-Heptene, 6-methyl-",073548-72-8,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"2-Hexene, 2,3-dimethyl-",007145-20-2,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"2-Hexene, 2,3-dimethyl-",007145-20-2,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"2-Hexene, 3,5-dimethyl-",003404-79-3,Alkene,Isoalkene,,8,16,,,,112.216,nonane
2-Methyl-2-heptene,000627-97-4,Alkene,Isoalkene,,8,16,,,,112.216,nonane
2-Methyl-2-heptene,000627-97-4,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"2-Pentene, 3-ethyl-",000816-79-5,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"2-Pentene, 3-ethyl-",000816-79-5,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"3,4-Dimethyl-2-hexene",002213-37-8,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"3,4-Dimethyl-2-hexene",002213-37-8,Alkene,Isoalkene,,8,16,,,,112.216,nonane
3-Ethyl-2-hexene,000620-00-8,Alkene,Isoalkene,,8,16,,,,112.216,nonane
3-Ethyl-3-hexene,016789-51-8,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"3-Heptene, 2-methyl-, (E)-",000692-96-6,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"3-Heptene, 2-methyl-, (E)-",000692-96-6,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"3-Heptene, 3-methyl-",007300-03-0,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"3-Heptene, 3-methyl-",007300-03-0,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"3-Heptene, 4-methyl-",004485-16-9,Alkene,Isoalkene,,8,16,,,,168.216,nonane
"3-Heptene, 4-methyl-",004485-16-9,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"3-Hexene, 2,3-dimethyl-",007145-23-5,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"3-Hexene, 3,4-dimethyl-, (Z)-",019550-87-9,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"3-Hexene, 3,4-dimethyl-, (Z)-",019550-87-9,Alkene,Isoalkene,,8,16,,,,112.216,nonane
4-Methyl-2-heptene,003404-56-6,Alkene,Isoalkene,,8,16,,,,112.216,nonane
4-Methyl-2-heptene,003404-56-6,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"5,5-Dimethyl-1,3-hexadiene",001515-79-3,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"5,5-Dimethyl-1,3-hexadiene",001515-79-3,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"Heptane, 3-methylene-",001632-16-2,Alkene,Isoalkene,,8,16,,,,112.216,nonane
"1,3-Hexadiene, 3-ethyl-2-methyl-",061142-36-7,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"1,3-Hexadiene, 3-ethyl-2-methyl-, (Z)-",074752-97-9,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"1-Heptene, 2,6-dimethyl-",003074-78-0,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"1-Hexene, 3,5,5-trimethyl-",4316-65-8,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"1-Octene, 2-methyl-",004588-18-5,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"1-Octene, 6-methyl-",013151-10-5,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"2,3-Dimethyl-3-heptene",1000113-49-3,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"2,4-Heptadiene, 2,6-dimethyl-",004634-87-1,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"2-Heptene, 2,6-dimethyl-",005557-98-2,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"2-Hexene, 4,4,5-trimethyl-",55702-61-9,Alkene,Isoalkene,,9,18,,,,126.243,nonane
2-Methyl-2-octene,016993-86-5,Alkene,Isoalkene,,9,18,,,,126.243,nonane
2-Methyl-2-octene,016993-86-5,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"3-Octene, 4-ethyl-",,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"3,4-Octadiene, 7-methyl-",037050-05-8,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"3-Heptene, 2,6-dimethyl-",002738-18-3,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"3-Heptene, 2,6-dimethyl-",002738-18-3,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"3-Heptene, 4-ethyl-",033933-74-3,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"3-Octyne, 5-methyl-",62108-33-2,Alkene,Isoalkene,,9,16,,,,124.227,nonane
"Heptane, 2,5-dimethyl-",002216-30-0,Alkene,Isoalkene,,9,18,,,,126.243,nonane
trans-2-Methyl-3-octene,052937-36-7,Alkene,Isoalkene,,9,18,,,,126.243,nonane
trans-7-Methyl-3-octene,1000113-52-8,Alkene,Isoalkene,,9,18,,,,126.243,nonane
"1,4-Heptadiene, 3,3,6-trimethyl-",74498-89-8,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"1,6-Heptadiene, 2,5,5-trimethyl-",62238-28-2,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"1-Octene, 2,6-dimethyl-",006874-29-9,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"1-Octene, 2,7-dimethyl-",033718-03-5,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"2-Hexene, 4-ethyl-2,3-dimethyl-",,Alkene,Isoalkene,,10,20,,,,140.27,nonane
2-Methyl-3-ethyl-2-heptene,019780-61-1,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"2-Nonene, 2-methyl-",002129-95-5,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"2-Octene, 2,6-dimethyl-",004057-42-5,Alkene,Isoalkene,,10,20,,,,140.27,nonane
3-Ethyl-4-octene,19781-32-9,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"3-Heptene, 4-propyl-",004485-13-6,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"3-Hexene, 3-ethyl-2,5-dimethyl-",62338-08-3,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"3-Nonene, 2-methyl-",053966-53-3,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"4-Nonene, 2-methyl-",055724-84-0,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"4-Nonene, 2-methyl-, (Z)-",051090-05-2,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"4-Nonene, 3-methyl-, (Z)-",63830-69-3,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"4-Nonene, 5-methyl-",015918-07-7,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"R(-)3,7-Dimethyl-1,6-octadiene",010281-56-8,Alkene,Isoalkene,,10,20,,,,140.27,nonane
"1-Decene, 5-methyl-",054244-79-0,Alkene,Isoalkene,,11,22,,,,154.297,nonane
"1-Decene, 8-methyl-",061142-79-8,Alkene,Isoalkene,,11,22,,,,154.297,nonane
"2-Decene, 9-methyl-, (Z)-",074630-24-3,Alkene,Isoalkene,,11,22,,,,154.297,nonane
"2-Decene, 5-methyl-, (Z)-",,Alkene,Isoalkene,,11,22,,,,154.297,nonane
"3-Decene, 2-methyl-, (Z)-",055499-05-3,Alkene,Isoalkene,,11,22,,,,154.297,nonane
"4-Decene, 2-methyl-, (E)-",028665-56-7,Alkene,Isoalkene,,11,22,,,,154.297,nonane
"4-Decene, 2-methyl-, (Z)-",055499-07-5,Alkene,Isoalkene,,11,22,,,,154.297,nonane
"4-Decene, 3-methyl-, (E)-",062338-47-0,Alkene,Isoalkene,,11,22,,,,154.297,nonane
"4-Decene, 4-methyl-, (E)-",060366-66-7,Alkene,Isoalkene,,11,22,,,,154.297,nonane
"4-Decene, 5-methyl-, (E)-",062338-51-6,Alkene,Isoalkene,,11,22,,,,154.297,nonane
"4-Decene, 7-methyl-, (E)-",062338-48-1,Alkene,Isoalkene,,11,22,,,,154.297,nonane
"4-Decene, 9-methyl-, (E)-",062338-49-2,Alkene,Isoalkene,,11,22,,,,154.297,nonane
"Nonane, 2-methyl-3-methylene-",055499-08-6,Alkene,Isoalkene,,11,22,,,,154.297,nonane
"1,5-Octadiene, 7-methyl-3-(1-methylethyl)-",74630-12-9,Alkene,Isoalkene,,12,22,,,,166.308,nonane
"3-Undecene, 10-methyl-",1000061-84-5,Alkene,Isoalkene,,12,24,,,,168.324,nonane
"3-Undecene, 2-methyl-, (E)-",074630-51-6,Alkene,Isoalkene,,12,24,,,,168.324,nonane
"3-Undecene, 2-methyl-, (Z)-",074630-48-1,Alkene,Isoalkene,,12,24,,,,168.324,nonane
"3-Undecene, 3-methyl-",023381-94-4,Alkene,Isoalkene,,12,24,,,,168.324,nonane
"3-Undecene, 9-methyl-, (E)-",074630-54-9,Alkene,Isoalkene,,12,24,,,,168.324,nonane
"4-Undecene, 10-methyl-, (E)-",074630-60-7,Alkene,Isoalkene,,12,24,,,,168.324,nonane
"4-Undecene, 4-methyl-",061142-40-3,Alkene,Isoalkene,,12,24,,,,168.324,nonane
"4-Undecene, 5-methyl-",020634-43-9,Alkene,Isoalkene,,12,24,,,,168.324,nonane
"5-Undecene, 2-methyl-, (Z)-",074630-63-0,Alkene,Isoalkene,,12,24,,,,168.324,nonane
"5-Undecene, 5-methyl-",031613-73-7,Alkene,Isoalkene,,12,24,,,,168.324,nonane
"5-Undecene, 7-methyl-, (Z)-",74630-62-9,Alkene,Isoalkene,,12,24,,,,168.324,nonane
"5-Undecene, 9-methyl-, (Z)-",074630-65-2,Alkene,Isoalkene,,12,24,,,,168.324,nonane
"4-Nonene, 5-butyl-",007367-38-6,Alkene,Isoalkene,,13,26,,,,182.351,nonane
"3,4-Heptadiene",2454-31-1,Alkene,n-alkene,,7,12,,,,96.173,nonane
Propene,000115-07-1,Alkene,n-Alkene,,3,6,,,,42.081,nonane
1-Butene,000106-98-9,Alkene,n-Alkene,,4,8,,,,56.108,nonane
2-Butene,000107-01-7,Alkene,n-Alkene,,4,8,,,,56.108,nonane
"2-Butene, (Z)-",000590-18-1,Alkene,n-Alkene,,4,8,,,,56.108,nonane
"1,4-Pentadiene",000591-93-5,Alkene,n-Alkene,,5,10,,,,70.135,nonane
1-Pentene,000109-67-1,Alkene,n-Alkene,,5,10,,,,70.135,nonane
2-Pentene,000109-68-2,Alkene,n-Alkene,,5,10,,,,70.135,nonane
"2-Pentene, (E)-",000646-04-8,Alkene,n-Alkene,,5,10,,,,70.135,nonane
"2-Pentene, (E)-",000646-04-8,Alkene,n-Alkene,,5,10,,,,70.135,nonane
"2-Pentene, (Z)-",000627-20-3,Alkene,n-Alkene,,5,10,,,,70.135,nonane
"Cyclopropane, 1,2-dimethyl-, trans-",002402-06-4,Alkene,n-Alkene,,5,10,,,,70.135,nonane
"(Z),(Z)-2,4-Hexadiene",006108-61-8,Alkene,n-Alkene,,6,12,,,,84.162,nonane
"(Z),(Z)-2,4-Hexadiene",006108-61-8,Alkene,n-Alkene,,6,12,,,,84.162,nonane
"1,3,5-Hexatriene, (Z)-",002612-46-6,Alkene,n-Alkene,,6,12,,,,84.162,nonane
"1,4-Hexadiene",000592-45-0,Alkene,n-Alkene,,6,12,,,,84.162,nonane
"1,4-Hexadiene, (Z)-",7318-67-4,Alkene,n-Alkene,,6,12,,,,84.162,nonane
1-Hexene,000592-41-6,Alkene,n-Alkene,,6,12,,,,84.162,nonane
"2,4-Hexadiene",000592-46-1,Alkene,n-Alkene,,6,12,,,,84.162,nonane
"2,4-Hexadiene, (E,E)-",005194-51-4,Alkene,n-Alkene,,6,12,,,,84.162,nonane
"2,4-Hexadiene, (E,Z)-",005194-50-3,Alkene,n-Alkene,,6,12,,,,84.162,nonane
2-Hexene,000592-43-8,Alkene,n-Alkene,,6,12,,,,84.162,nonane
"2-Hexene, (Z)-",007688-21-3,Alkene,n-Alkene,,6,12,,,,84.162,nonane
3-Hexene,000592-47-2,Alkene,n-Alkene,,6,12,,,,84.162,nonane
"3-Hexene, (E)-",013269-52-8,Alkene,n-Alkene,,6,12,,,,84.162,nonane
"3-Hexene, (Z)-",007642-09-3,Alkene,n-Alkene,,6,12,,,,84.162,nonane
"trans-1,4-Hexadiene",007319-00-8,Alkene,n-Alkene,,6,10,,,,82.146,nonane
(Z)-2-Heptene,006443-92-1,Alkene,n-Alkene,,7,14,,,,98.189,nonane
(Z)-3-Heptene,007642-10-6,Alkene,n-Alkene,,7,14,,,,98.189,nonane
"1,3,5-Heptatriene, (E,E)-",017679-93-5,Alkene,n-Alkene,,7,14,,,,98.189,nonane
"1,3,6-Heptatriene",001002-27-3,Alkene,n-Alkene,,7,14,,,,98.189,nonane
"1,4-Heptadiene",005675-22-9,Alkene,n-Alkene,,7,14,,,,98.189,nonane
1-Heptene,000592-76-7,Alkene,n-Alkene,,7,14,,,,98.189,nonane
1-Heptene,000592-76-7,Alkene,n-Alkene,,7,14,,,,98.189,nonane
"2,4-Heptadiene, (E,E)-",2384-94-3,Alkene,n-Alkene,,7,14,,,,98.189,nonane
2-Heptene,000592-77-8,Alkene,n-Alkene,,7,14,,,,98.189,nonane
"2-Heptene, (E)-",014686-13-6,Alkene,n-Alkene,,7,14,,,,98.189,nonane
"3-Heptadecene, (Z)-",1000141-67-3,Alkene,n-Alkene,,7,14,,,,98.189,nonane
3-Heptene,000592-78-9,Alkene,n-Alkene,,7,14,,,,98.189,nonane
"3-Heptene, (E)-",014686-14-7,Alkene,n-Alkene,,7,14,,,,98.189,nonane
"3-Heptene, (E)-",014686-14-7,Alkene,n-Alkene,,7,14,,,,98.189,nonane
"(E,E,E)-2,4,6-Octatriene",015192-80-0,Alkene,n-Alkene,,8,16,,,,112.216,nonane
"(E,E,E)-2,4,6-Octatriene",015192-80-0,Alkene,n-Alkene,,8,16,,,,112.216,nonane
"1,3,6-Octatriene, (E,E)-",022038-69-3,Alkene,n-Alkene,,8,16,,,,112.216,nonane
"1,4-Octadiene",5675-25-2,Alkene,n-Alkene,,8,16,,,,112.216,nonane
1-Octene,000111-66-0,Alkene,n-Alkene,,8,16,,,,112.216,nonane
"2,4-Octadiene",013643-08-8,Alkene,n-Alkene,,8,16,,,,112.216,nonane
2-Octene,000111-67-1,Alkene,n-Alkene,,8,16,,,,112.216,nonane
"2-Octene, (E)-",013389-42-9,Alkene,n-Alkene,,8,16,,,,112.216,nonane
"2-Octene, (Z)-",007642-04-8,Alkene,n-Alkene,,8,16,,,,112.216,nonane
"3,5-Octadiene, (Z,Z)-",007348-80-3,Alkene,n-Alkene,,8,16,,,,112.216,nonane
"3-Octene, (E)-",014919-01-8,Alkene,n-Alkene,,8,16,,,,112.216,nonane
"3-Octene, (Z)-",014850-22-7,Alkene,n-Alkene,,8,16,,,,112.216,nonane
"4-Methyl-1,3-heptadiene",17603-57-5,Alkene,n-Alkene,,8,14,,,,110.2,nonane
"4-Octene, (E)-",014850-23-8,Alkene,n-Alkene,,8,16,,,,112.216,nonane
"4-Octene, (E)-",014850-23-8,Alkene,n-Alkene,,8,16,,,,112.216,nonane
"4-Octene, (Z)-",007642-15-1,Alkene,n-Alkene,,8,16,,,,112.216,nonane
C8 n-Alkene,,Alkene,n-Alkene,,8,16,,,,112.216,nonane
"1,6-Heptadiene, 3,3-dimethyl-",68701-61-1,Alkene,n-Alkene,,9,16,,,,124.227,nonane
1-Nonene,000124-11-8,Alkene,n-Alkene,,9,18,,,,126.243,nonane
2-Nonene,002216-38-8,Alkene,n-Alkene,,9,18,,,,126.243,nonane
"2-Nonene, (E)-",006434-78-2,Alkene,n-Alkene,,9,18,,,,126.243,nonane
3-Nonene,020063-77-8,Alkene,n-Alkene,,9,18,,,,126.243,nonane
"3-Nonene, (E)-",020063-92-7,Alkene,n-Alkene,,9,18,,,,126.243,nonane
"4,5-Nonadiene",821-74-9,Alkene,n-Alkene,,9,16,,,,124.227,nonane
4-Nonene,002198-23-4,Alkene,n-Alkene,,9,18,,,,126.243,nonane
4-Nonene,002198-23-4,Alkene,n-Alkene,,9,18,,,,126.243,nonane
4-Nonyne,20184-91-2,Alkene,n-Alkene,,9,16,,,,124.227,nonane
cis-2-Nonene,006434-77-1,Alkene,n-Alkene,,9,18,,,,126.243,nonane
cis-2-Nonene,006434-77-1,Alkene,n-Alkene,,9,18,,,,126.243,nonane
cis-3-Nonene,020237-46-1,Alkene,n-Alkene,,9,18,,,,126.243,nonane
cis-4-Nonene,010405-84-2,Alkene,n-Alkene,,9,18,,,,126.243,nonane
cis-4-Nonene,010405-84-2,Alkene,n-Alkene,,9,18,,,,126.243,nonane
trans--4-Nonene,010405-85-3,Alkene,n-Alkene,,9,18,,,,126.243,nonane
trans--4-Nonene,010405-85-3,Alkene,n-Alkene,,9,18,,,,126.243,nonane
"1,6-Octadiene, 2,6-dimethyl-, (Z)-",6874-34-6,Alkene,n-Alkene,,10,18,,,,138.254,nonane
"1,6-Octadiene, 3,7-dimethyl-",2436-90-0,Alkene,n-Alkene,,10,18,,,,138.254,nonane
1-Decene,000872-05-9,Alkene,n-Alkene,,10,20,,,,140.27,nonane
1-Decyne,764-93-2,Alkene,n-Alkene,,10,18,,,,138.254,nonane
"2-Decene, (E)-",020063-97-2,Alkene,n-Alkene,,10,20,,,,140.27,nonane
"2-Decene, (Z)-",020348-51-0,Alkene,n-Alkene,,10,20,,,,140.27,nonane
3-Decene,019398-37-9,Alkene,n-Alkene,,10,20,,,,140.27,nonane
3-Decyne,2384-85-2,Alkene,n-Alkene,,10,18,,,,138.254,nonane
"4,5-Nonadiene, 2-methyl-",55956-32-6,Alkene,n-Alkene,,10,18,,,,138.254,nonane
4-Decene,019689-18-0,Alkene,n-Alkene,,10,20,,,,140.27,nonane
4-Decyne,2384-86-3,Alkene,n-Alkene,,10,18,,,,138.254,nonane
5-Decene,019689-19-1,Alkene,n-Alkene,,10,20,,,,140.27,nonane
"5-Decene, (E)-",007433-56-9,Alkene,n-Alkene,,10,20,,,,140.27,nonane
cis-3-Decene,019398-86-8,Alkene,n-Alkene,,10,20,,,,140.27,nonane
cis-4-Decene,019398-88-0,Alkene,n-Alkene,,10,20,,,,140.27,nonane
trans-3-Decene,019150-21-1,Alkene,n-Alkene,,10,20,,,,140.27,nonane
trans-4-Decene,019398-89-1,Alkene,n-Alkene,,10,20,,,,140.27,nonane
"1,8-Nonadiene, 2,8-dimethyl-",20054-25-5,Alkene,n-Alkene,,11,20,,,,152.281,nonane
1-Undecyne,2243-98-3,Alkene,n-Alkene,,11,20,,,,152.281,nonane
"2-Undecene, (E)-",000693-61-8,Alkene,n-Alkene,,11,22,,,,154.297,nonane
"3-Undecene, (E)-",001002-68-2,Alkene,n-Alkene,,11,22,,,,154.297,nonane
"3-Undecene, (Z)-",000821-97-6,Alkene,n-Alkene,,11,22,,,,154.297,nonane
"4-Undecene, (E)-",000693-62-9,Alkene,n-Alkene,,11,22,,,,154.297,nonane
"4-Undecene, (Z)-",000821-98-7,Alkene,n-Alkene,,11,22,,,,154.297,nonane
5-Undecene,004941-53-1,Alkene,n-Alkene,,11,22,,,,154.297,nonane
"5-Undecene, (E)-",000764-97-6,Alkene,n-Alkene,,11,22,,,,154.297,nonane
"5-Undecene, (Z)-",000764-96-5,Alkene,n-Alkene,,11,22,,,,154.297,nonane
"E-1,6-Undecadiene",,Alkene,n-Alkene,,11,20,,,,152.281,nonane
"1,11-Dodecadiene",5876-87-9,Alkene,n-Alkene,,12,22,,,,166.308,nonane
"2-Dodecene, (E)-",007206-13-5,Alkene,n-Alkene,,12,24,,,,168.324,nonane
"2-Dodecene, (Z)-",007206-26-0,Alkene,n-Alkene,,12,24,,,,168.324,nonane
"3-Dodecene, (E)-",007206-14-6,Alkene,n-Alkene,,12,24,,,,168.324,nonane
"3-Dodecene, (Z)-",007239-23-8,Alkene,n-Alkene,,12,24,,,,168.324,nonane
4-Dodecene,002030-84-4,Alkene,n-Alkene,,12,24,,,,168.324,nonane
"4-Dodecene, (E)-",007206-15-7,Alkene,n-Alkene,,12,24,,,,168.324,nonane
"4-Dodecene, (Z)-",007206-27-1,Alkene,n-Alkene,,12,24,,,,168.324,nonane
"5-Dodecene, (E)-",007206-16-8,Alkene,n-Alkene,,12,24,,,,168.324,nonane
"5-Dodecene, (Z)-",007206-28-2,Alkene,n-Alkene,,12,24,,,,168.324,nonane
"6-Dodecene, (E)-",007206-17-9,Alkene,n-Alkene,,12,24,,,,168.324,nonane
"6-Dodecene, (Z)-",007206-29-3,Alkene,n-Alkene,,12,24,,,,168.324,nonane
1-Tridecene,002437-56-1,Alkene,n-Alkene,,13,26,,,,182.351,nonane
"2-Tridecene, (E)-",041446-58-6,Alkene,n-Alkene,,13,26,,,,182.351,nonane
"2-Tridecene, (Z)-",041446-59-7,Alkene,n-Alkene,,13,26,,,,182.351,nonane
"3-Tridecene, (E)-",041446-57-5,Alkene,n-Alkene,,13,26,,,,182.351,nonane
"3-Tridecene, (Z)-",041446-53-1,Alkene,n-Alkene,,13,26,,,,182.351,nonane
"4-Tridecene, (Z)-",041446-54-2,Alkene,n-Alkene,,13,26,,,,182.351,nonane
"5-Tridecene, (E)-",023051-84-5,Alkene,n-Alkene,,13,26,,,,182.351,nonane
"5-Tridecene, (Z)-",25524-42-9,Alkene,n-Alkene,,13,26,,,,182.351,nonane
"6-Tridecene, (E)-",006434-76-0,Alkene,n-Alkene,,13,26,,,,182.351,nonane
"6-Tridecene, (Z)-",006508-77-6,Alkene,n-Alkene,,13,26,,,,182.351,nonane
"1,13-Tetradecadiene",21964-49-8,Alkene,n-Alkene,,14,26,,,,194.362,nonane
1-Tetradecene,001120-36-1,Alkene,n-Alkene,,14,28,,,,196.378,nonane
"2-Tetradecene, (E)-",035953-54-9,Alkene,n-Alkene,,14,28,,,,196.378,nonane
"3-Tetradecene, (E)-",041446-68-8,Alkene,n-Alkene,,14,28,,,,196.378,nonane
"3-Tetradecene, (Z)-",041446-67-7,Alkene,n-Alkene,,14,28,,,,196.378,nonane
"4-Tetradecene, (E)-",041446-78-0,Alkene,n-Alkene,,14,28,,,,196.378,nonane
"4-Tetradecene, (Z)-",041446-65-5,Alkene,n-Alkene,,14,28,,,,196.378,nonane
"5-Tetradecene, (E)-",041446-66-6,Alkene,n-Alkene,,14,28,,,,196.378,nonane
"6-Tetradecene, (E)-",041446-64-4,Alkene,n-Alkene,,14,28,,,,196.378,nonane
"6-Tetradecene, (Z)-",041446-61-1,Alkene,n-Alkene,,14,28,,,,196.378,nonane
7-Tetradecene,010374-74-0,Alkene,n-Alkene,,14,28,,,,196.378,nonane
"7-Tetradecene, (E)-",041446-63-3,Alkene,n-Alkene,,14,28,,,,196.378,nonane
"7-Tetradecene, (Z)-",041446-60-0,Alkene,n-Alkene,,14,28,,,,196.378,nonane
1-Pentadecene,013360-61-7,Alkene,n-Alkene,,15,30,,,,210.405,nonane
1-Pentadecyne,000765-13-9,Alkene,n-Alkene,,15,28,,,,208.389,nonane
"3-Hexadecene, (Z)-",034303-81-6,Alkene,n-Alkene,,16,32,,,,224.432,nonane
"7-Hexadecene, (Z)-",035507-09-6,Alkene,n-Alkene,,16,32,,,,224.432,nonane
"Z-1,9-Hexadecadiene",,Alkene,n-Alkene,,16,30,,,,222.416,nonane
Octadecadiene,,Alkene,n-Alkene,,18,34,,,,250.47,nonane
Cetene,000629-73-2,Alkene,n-Alkene,,16,32,,,,224.432,nonane
8-Heptadecene,002579-04-6,Alkene,n-Alkene,,17,34,,,,238.459,nonane
1-Octadecene,000112-88-9,Alkene,n-Alkene,,18,36,,,,252.486,nonane
"3-Octadecene, (E)-",007206-19-1,Alkene,n-Alkene,,18,36,,,,252.486,nonane
"5-Octadecene, (E)-",007206-21-5,Alkene,n-Alkene,,18,36,,,,252.486,nonane
1-Nonadecene,018435-45-5,Alkene,n-Alkene,,19,38,,,,266.513,nonane
9-Nonadecene,031035-07-1,Alkene,n-Alkene,,19,38,,,,266.513,nonane
Z-5-Nonadecene,1000131-11-8,Alkene,n-Alkene,,19,38,,,,266.513,nonane
"1,19-Eicosadiene",14811-95-1,Alkene,n-Alkene,,20,38,,,,278.524,nonane
Henicos-1-ene,001599-68-4,Alkene,n-Alkene,,21,42,,,,294.567,nonane
1-Docosene,001599-67-3,Alkene,n-Alkene,,22,44,,,,308.594,nonane
"9-Tricosene, (Z)-",027519-02-4,Alkene,n-Alkene,,23,46,,,,322.621,nonane
1-Tricosene,18835-32-0,Alkene,n-Alkene,,23,46,,,,322.621,nonane
1-Tetracosene,010192-32-2,Alkene,n-Alkene,,24,48,,,,336.648,nonane
.beta.-Myrcene,000123-35-3,Alkene,n-Alkene,,10,16,,,,136.238,nonane
9-Eicosyne,071899-38-2,Alkene,n-Alkene,,20,38,,,,278.524,nonane
"1,6,9-Tetradecatriene",061233-71-4,Alkene,n-Alkene,,14,24,,,,192.346,nonane
1-Eicosene,003452-07-1,Alkene,n-Alkene,,20,38,,,,278.524,nonane
1-Undecene,000821-95-4,Alkene,n-Alkene,,11,22,,,,154.297,nonane
"1,3-Pentadiene, 3-methyl-, (E)-",002787-43-1,Alkene,Isoalkene,,6,10,,,,82.146,nonane
"2-Pentene, 2,3-dimethyl-",010574-37-5,Alkene,Isoalkene,,7,12,,,,96.173,nonane
C18 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,18,36,,,,252.486,nonane
C19 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,19,38,,,,266.513,nonane
C20 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,20,40,,,,280.54,nonane
C21 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,21,42,,,,294.567,nonane
C22 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,22,44,,,,308.594,nonane
C23 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,23,46,,,,322.621,nonane
C24 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,24,48,,,,336.648,nonane
C25 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,25,50,,,,350.675,nonane
C26 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,26,52,,,,364.702,nonane
C27 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,27,54,,,,378.729,nonane
C28 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,28,56,,,,392.756,nonane
C29 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,29,58,,,,406.783,nonane
C30 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,30,60,,,,420.81,nonane
C31 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,31,62,,,,434.837,nonane
C32 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,32,64,,,,448.864,nonane
C33 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,33,66,,,,462.891,nonane
C34 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,34,68,,,,476.918,nonane
C35 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,35,70,,,,490.945,nonane
C36 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,36,72,,,,504.972,nonane
C37 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,37,74,,,,518.999,nonane
C38 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,38,76,,,,533.026,nonane
C39 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,39,78,,,,547.053,nonane
C40 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,40,80,,,,561.08,nonane
C41 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,41,82,,,,575.107,nonane
C42 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,42,84,,,,589.134,nonane
C43 Alkene/Cycloalkane,,Alkene/Cycloalkane,,,43,86,,,,603.161,nonane
